algorithm,meanPR
ANBNWI-DE,0.854425061728396
CMA,0.668029629629626
HillVallEA,0.885135802469137
HillVallEA19,0.891621913580249
IPOP,0.352210925925924
NEA1,0.608860493827158
NEA2,0.745836728395043
NEA2+,0.807137037037036
NMMSO,0.825471604938265
NMMSO2,0.825471604938265
RLSIS,0.800174999999992
RLSIS17,0.799506481481472
RSCMSA,0.854887345679015
RSCMSA17,0.855788580246917
SDE-Ga,0.832986111111095
SSGA,0.755276851851832
ASCGAf,0.600075617283941
SSGA-DMRTS-DDC,0.679361419753077
SSGA-DMRTS-DDC-F,0.738070370370351
