algorithm,meanF1
ANBNWI-DE,0.887255913805112
CMA,0.189116258726629
HillVallEA,0.929767387303203
HillVallEA19,0.93352027332865
IPOP,0.30832015999088
NEA1,0.118738501353149
NEA2,0.240890141207437
NEA2+,0.854880574178283
NMMSO,0.37633119440443
NMMSO2,0.37633119440443
RLSIS,0.861623401995232
RLSIS17,0.855355831824195
RSCMSA,0.910314843120919
RSCMSA17,0.910610967549756
SDE-Ga,0.883508067661045
SSGA,0.0519034174340227
ASCGAf,0.324412159829061
SSGA-DMRTS-DDC,0.026896216485011
SSGA-DMRTS-DDC-F,0.048246634482013
