algorithm,problem,run,acc1,acc2,acc3,acc4,acc5
ANBNWI-DE,prob1,0,0.97064,0.97064,0.97064,0.97064,0.97064
ANBNWI-DE,prob1,1,0.97344,0.97344,0.97344,0.97344,0.97344
ANBNWI-DE,prob1,2,0.963813333333333,0.963813333333333,0.963813333333333,0.963813333333333,0.963813333333333
ANBNWI-DE,prob1,3,0.982253333333333,0.982253333333333,0.982253333333333,0.982253333333333,0.982253333333333
ANBNWI-DE,prob1,4,0.98052,0.98052,0.98052,0.98052,0.98052
ANBNWI-DE,prob1,5,0.965013333333333,0.965013333333333,0.965013333333333,0.965013333333333,0.965013333333333
ANBNWI-DE,prob1,6,0.97692,0.97692,0.97692,0.97692,0.97692
ANBNWI-DE,prob1,7,0.97732,0.97732,0.97732,0.97732,0.97732
ANBNWI-DE,prob1,8,0.946973333333333,0.946973333333333,0.946973333333333,0.946973333333333,0.946973333333333
ANBNWI-DE,prob1,9,0.957146666666667,0.957146666666667,0.957146666666667,0.957146666666667,0.957146666666667
ANBNWI-DE,prob1,10,0.955533333333333,0.955533333333333,0.955533333333333,0.955533333333333,0.955533333333333
ANBNWI-DE,prob1,11,0.973413333333333,0.973413333333333,0.973413333333333,0.973413333333333,0.973413333333333
ANBNWI-DE,prob1,12,0.978653333333333,0.978653333333333,0.978653333333333,0.978653333333333,0.978653333333333
ANBNWI-DE,prob1,13,0.963826666666667,0.963826666666667,0.963826666666667,0.963826666666667,0.963826666666667
ANBNWI-DE,prob1,14,0.98052,0.98052,0.98052,0.98052,0.98052
ANBNWI-DE,prob1,15,0.968493333333333,0.968493333333333,0.968493333333333,0.968493333333333,0.968493333333333
ANBNWI-DE,prob1,16,0.98172,0.98172,0.98172,0.98172,0.98172
ANBNWI-DE,prob1,17,0.980253333333333,0.980253333333333,0.980253333333333,0.980253333333333,0.980253333333333
ANBNWI-DE,prob1,18,0.981186666666667,0.981186666666667,0.981186666666667,0.981186666666667,0.981186666666667
ANBNWI-DE,prob1,19,0.98292,0.98292,0.98292,0.98292,0.98292
ANBNWI-DE,prob1,20,0.981586666666667,0.981586666666667,0.981586666666667,0.981586666666667,0.981586666666667
ANBNWI-DE,prob1,21,0.979986666666667,0.979986666666667,0.979986666666667,0.979986666666667,0.979986666666667
ANBNWI-DE,prob1,22,0.98092,0.98092,0.98092,0.98092,0.98092
ANBNWI-DE,prob1,23,0.972506666666667,0.972506666666667,0.972506666666667,0.972506666666667,0.972506666666667
ANBNWI-DE,prob1,24,0.978253333333333,0.978253333333333,0.978253333333333,0.978253333333333,0.978253333333333
ANBNWI-DE,prob1,25,0.980653333333333,0.980653333333333,0.980653333333333,0.980653333333333,0.980653333333333
ANBNWI-DE,prob1,26,0.975573333333333,0.975573333333333,0.975573333333333,0.975573333333333,0.975573333333333
ANBNWI-DE,prob1,27,0.96328,0.96328,0.96328,0.96328,0.96328
ANBNWI-DE,prob1,28,0.982653333333333,0.982653333333333,0.982653333333333,0.982653333333333,0.982653333333333
ANBNWI-DE,prob1,29,0.978786666666667,0.978786666666667,0.978786666666667,0.978786666666667,0.978786666666667
ANBNWI-DE,prob1,30,0.979453333333333,0.979453333333333,0.979453333333333,0.979453333333333,0.979453333333333
ANBNWI-DE,prob1,31,0.98092,0.98092,0.98092,0.98092,0.98092
ANBNWI-DE,prob1,32,0.933493333333333,0.933493333333333,0.933493333333333,0.933493333333333,0.933493333333333
ANBNWI-DE,prob1,33,0.97424,0.97424,0.97424,0.97424,0.97424
ANBNWI-DE,prob1,34,0.963066666666667,0.963066666666667,0.963066666666667,0.963066666666667,0.963066666666667
ANBNWI-DE,prob1,35,0.981853333333333,0.981853333333333,0.981853333333333,0.981853333333333,0.981853333333333
